"Sample" "RNA浓度" "A260" "A280" "260/280" "260/230" "Factor" "所需RNA体积" "反转Mix体积" "gDNARemover体积" "ddH2O体积"
"A1" 831.8 20.79 10.93 1.9 1.19 40 6.01 20 5 68.99
"A2" 851.63 21.29 11.27 1.89 1.21 40 5.87 20 5 69.13
"A3" 1152.73 28.82 14.67 1.96 1.67 40 4.34 20 5 70.66
"A4" 524 13.1 6.91 1.9 1.1 40 9.54 20 5 65.46
"A5" 1322.53 33.06 16.93 1.95 1.6 40 3.78 20 5 71.22
"A6" 596.1 14.9 7.81 1.9 1.38 40 8.39 20 5 66.61
"A7" 447.53 11.19 5.81 1.92 1.34 40 11.17 20 5 63.83
"A8" 550.3 13.76 7.18 1.92 1.29 40 9.09 20 5 65.91
"A9" 677.63 16.94 8.74 1.94 1.39 40 7.38 20 5 67.62
"A10" 479 11.98 6.26 1.91 1.3 40 10.44 20 5 64.56
"A11" 527.55 13.19 6.97 1.89 1.07 40 9.48 20 5 65.52
"A12" 1250.9 31.27 15.91 1.97 1.63 40 4 20 5 71
"A13" 723.9 18.1 9.35 1.94 1.42 40 6.91 20 5 68.09
"A14" 882.67 22.07 11.54 1.91 1.35 40 5.66 20 5 69.34
"A15" 691.13 17.28 9.1 1.9 1.35 40 7.23 20 5 67.77
"A16" 995.7 24.89 12.66 1.97 1.68 40 5.02 20 5 69.98
"A17" 364.17 9.1 4.85 1.88 1.09 40 13.73 20 5 61.27
"A18" 295.93 7.4 3.91 1.89 1.12 40 16.9 20 5 58.1
"A19" 426.1 10.65 5.63 1.89 1.14 40 11.73 20 5 63.27
"A20" 1058.1 26.45 13.59 1.95 1.57 40 4.73 20 5 70.27
